category,city,stars
Building Supplies,Bethel Park,2.75
Building Supplies,Mississauga,2.75
Building Supplies,Urbana,2.75
Building Supplies,Cleveland Heights,2.5
Building Supplies,Monroeville,2.5
Building Supplies,N W Las Vegas,2.5
Building Supplies,Woodbridge,2.5
Building Supplies,Lorain,2.5
Building Supplies,Chagrin Falls,2.5
Building Supplies,Matthews,2.5
Building Supplies,Avondale,2.5
Building Supplies,Summerlin,2.5
Building Supplies,Frazer,2.5
Building Supplies,Cuyahoga Falls,2.5
Building Supplies,Medina,2.3333333333333335
Building Supplies,Sunrise,2.0
Building Supplies,Mentor,2.0
Building Supplies,Strongsville,2.0
Building Supplies,North Olmsted,2.0
Building Supplies,Richmond Hill,2.0
Building Supplies,Pickering,1.5
Building Supplies,Bedford,1.5
Building Supplies,San Tan Valley,1.0
Building Supplies,Ludwigsburg,1.0
Bulgarian,Las Vegas,3.5
Burgers,Russellton,5.0
Burgers,Las  Vegas,5.0
Burgers,Lowesville,5.0
Burgers,Sainte-Therese-de-Blainville,5.0
Burgers,Saint-Constant,5.0
Burgers,LaSalle,4.5
Burgers,Shaler Township,4.5
Burgers,Brunswick Hills,4.5
Burgers,Paoli,4.5
Burgers,Kahnawake,4.5
Burgers,Goodwood,4.5
Burgers,Mount Albert,4.5
Burgers,Farnham,4.5
Burgers,Montrose,4.5
Burgers,West Akron,4.5
Burgers,Elrama,4.5
Burgers,Emsworth,4.5
Burgers,Midland,4.5
Burgers,Sainte-Catherine,4.5
Burgers,Litchfield,4.5
Burgers,Kirtland,4.5
Burgers,Brentwood,4.5
Burgers,Mc Farland,4.166666666666667
Burgers,Saint-Laurent,4.166666666666667
Burgers,McKees Rocks,4.166666666666667
Burgers,Tega Cay,4.0
Burgers,Stallings,4.0
Burgers,McAdenville,4.0
Burgers,Cross Plains,4.0
Burgers,Chambly,4.0
Burgers,Shaker Heights,4.0
Burgers,South Park Township,4.0
Burgers,Kirkcaldy,4.0
Burgers,Murrysville,4.0
Burgers,Fairlawn,4.0
Burgers,Fabreville,4.0
Burgers,Warrensville Heights,4.0
Burgers,Montréal-Nord,4.0
Burgers,Carefree,4.0
Burgers,Longueuil,4.0
Burgers,WICKLIFFE,4.0
Burgers,Orange,4.0
Burgers,Turtle Creek,4.0
Burgers,Whitchurch-Stouffville,4.0
Burgers,Laveen Village,4.0
Burgers,Outremont,4.0
Burgers,Bainbridge,4.0
Burgers,East Gwillimbury,3.8333333333333335
Burgers,Dollard-des-Ormeaux,3.8333333333333335
Burgers,Kannapolis,3.8333333333333335
Burgers,North Huntingdon,3.75
Burgers,Leonberg,3.75
Burgers,Caledon East,3.75
Burgers,columbia station,3.75
Burgers,Waunakee,3.75
Burgers,Boisbriand,3.75
Burgers,Mayfield Heights,3.75
Burgers,Boulder City,3.75
Burgers,Vaudreuil-Dorion,3.75
Burgers,Anjou,3.75
Burgers,Eastlake,3.7
Burgers,North Royalton,3.6666666666666665
Burgers,Lakewood,3.638888888888889
Burgers,Seven Hills,3.625
Burgers,Cleveland Heights,3.6
Burgers,Newmarket,3.59375
Burgers,Middleton,3.590909090909091
Burgers,Edinburgh,3.5833333333333335
Burgers,Bolton,3.5
Burgers,Sainte-Madeleine,3.5
Burgers,Montreal-Ouest,3.5
Burgers,Verona,3.5
Burgers,Allison Park,3.5
Burgers,Saint Leonard,3.5
Burgers,Chardon,3.5
Burgers,Avalon,3.5
Burgers,Old Town,3.5
Burgers,Harrisburg,3.5
Burgers,Bedford Hts.,3.5
Burgers,Weddington,3.5
Burgers,San Tan Valley,3.5
Burgers,Fairview Park,3.5
