category,city,stars
Ethnic Grocery,Las Vegas,3.8333333333333335
Ethnic Grocery,Cleveland,3.75
Ethnic Grocery,Glendale,3.5
Ethnic Grocery,Schwieberdingen,3.0
Ethnic Grocery,Champaign,3.0
Ethnic Grocery,North Olmsted,3.0
Ethnic Grocery,Chandler,3.0
Ethnic Grocery,Henderson,2.0
Ethnic Grocery,Charlotte,2.0
Event Photography,Concord,5.0
Event Photography,Madison,5.0
Event Photography,Chandler,5.0
Event Photography,Peoria,5.0
Event Photography,Fountain Hills,5.0
Event Photography,Fort Mill,5.0
Event Photography,Stoughton,5.0
Event Photography,Mayfield Heights,5.0
Event Photography,Anthem,5.0
Event Photography,Bethel Park,5.0
Event Photography,Pittsburgh,5.0
Event Photography,Cave Creek,5.0
Event Photography,Westlake,5.0
Event Photography,Glenshaw,5.0
Event Photography,Surprise,5.0
Event Photography,Lakewood,5.0
Event Photography,Oakdale,5.0
Event Photography,Gilbert,4.90625
Event Photography,Charlotte,4.875
Event Photography,Scottsdale,4.7727272727272725
Event Photography,Champaign,4.75
Event Photography,Las Vegas,4.741666666666666
Event Photography,Tempe,4.722222222222222
Event Photography,Glendale,4.7
Event Photography,Cleveland,4.666666666666667
Event Photography,North Las Vegas,4.666666666666667
Event Photography,Phoenix,4.588235294117647
Event Photography,Mesa,4.5
Event Photography,Henderson,4.46875
Event Photography,Avondale,4.25
Event Photography,Toronto,4.083333333333333
Event Photography,Chagrin Falls,3.5
Event Photography,Dewey,2.5
Event Planning & Services,Millvale,5.0
Event Planning & Services,Municipality of Murrysville,5.0
Event Planning & Services,Nottingham,5.0
Event Planning & Services,McFarland,5.0
Event Planning & Services,Finleyville,5.0
Event Planning & Services,Saint-Leonard,5.0
Event Planning & Services,Sainte-Marthe,5.0
Event Planning & Services,Glenshaw,5.0
Event Planning & Services,Indian Trail,5.0
Event Planning & Services,Belleville,5.0
Event Planning & Services,Port Credit,5.0
Event Planning & Services,Kleinburg,5.0
Event Planning & Services,Novelty,5.0
Event Planning & Services,Saint Joseph,5.0
Event Planning & Services,Mount Holly,5.0
Event Planning & Services,Robinson Township,5.0
Event Planning & Services,Murrysville,5.0
Event Planning & Services,Bedford Heights,5.0
Event Planning & Services,Saint-Marc-Sur-Richelieu,5.0
Event Planning & Services,Huntsburg,5.0
Event Planning & Services,McKeesport,5.0
Event Planning & Services,Alburg,5.0
Event Planning & Services,Saint-Hubert,5.0
Event Planning & Services,Berg,5.0
Event Planning & Services,Allison Park,5.0
Event Planning & Services,South Euclid,5.0
Event Planning & Services,Stoughton,4.833333333333333
Event Planning & Services,Bedford,4.75
Event Planning & Services,Waxhaw,4.666666666666667
Event Planning & Services,Avon,4.625
Event Planning & Services,Downtown,4.5
Event Planning & Services,St-Lazare,4.5
Event Planning & Services,Midland,4.5
Event Planning & Services,Sainte-Genevieve,4.5
Event Planning & Services,Lawrence,4.5
Event Planning & Services,Swissvale,4.5
Event Planning & Services,Mount Lebanon,4.5
Event Planning & Services,Kingussie,4.5
Event Planning & Services,"Phoenix,",4.5
Event Planning & Services,North Huntingdon,4.5
Event Planning & Services,Ambridge,4.5
Event Planning & Services,Cottage Grove,4.5
Event Planning & Services,Olmsted Falls,4.5
Event Planning & Services,Westmount,4.5
Event Planning & Services,Mc Farland,4.5
Event Planning & Services,Queensferry,4.5
Event Planning & Services,Outremont,4.5
Event Planning & Services,San Tan Valley,4.5
Event Planning & Services,Hemmingen,4.5
Event Planning & Services,Homestead,4.5
Event Planning & Services,Dalkeith,4.5
Event Planning & Services,Charlote,4.5
Event Planning & Services,Pierrefonds,4.5
Event Planning & Services,North Versailles,4.5
Event Planning & Services,Fort McDowell,4.5
Event Planning & Services,Burton,4.5
Event Planning & Services,Kirtland,4.5
Event Planning & Services,Euclid,4.5
Event Planning & Services,Saint - Hyacinthe,4.5
Event Planning & Services,Bethel Park,4.375
Event Planning & Services,Lorain,4.333333333333333
Event Planning & Services,Gilbert,4.3076923076923075
Event Planning & Services,De Forest,4.25
Event Planning & Services,Indian Land,4.25
Event Planning & Services,Bay Village,4.25
Event Planning & Services,King City,4.25
Event Planning & Services,Steinenbronn,4.25
Event Planning & Services,Cave Creek,4.181818181818182
Event Planning & Services,South Queensferry,4.166666666666667
Event Planning & Services,Leinfelden-Echterdingen,4.142857142857143
Event Planning & Services,Laveen,4.1
Event Planning & Services,Surprise,4.071428571428571
Event Planning & Services,Henderson,4.040880503144654
Event Planning & Services,Avondale,4.035714285714286
Event Planning & Services,Scottsdale,4.031700288184438
Event Planning & Services,Goodyear,4.029411764705882
Event Planning & Services,Imperial,4.0
Event Planning & Services,East York,4.0
Event Planning & Services,DeForest,4.0
Event Planning & Services,Esslingen am Neckar,4.0
Event Planning & Services,Mint Hill,4.0
Event Planning & Services,Bedford HTS,4.0
Event Planning & Services,Joliette,4.0
Event Planning & Services,Parma Heights,4.0
Event Planning & Services,Plum,4.0
Event Planning & Services,Roosevelt,4.0
Event Planning & Services,Sewickley,4.0
Event Planning & Services,Cleveland Heights,4.0
Event Planning & Services,Lasalle,4.0
Event Planning & Services,Gullane,4.0
Event Planning & Services,Baie-d'Urfé,4.0
Event Planning & Services,Napierville,4.0
Event Planning & Services,Anthem,4.0
Event Planning & Services,Bellevue,4.0
Event Planning & Services,Harrisburg,4.0
Event Planning & Services,Oakwood Village,4.0
Event Planning & Services,St. Jean Sur Richelieu,4.0
Event Planning & Services,Salaberry-De-Valleyfield,4.0
Event Planning & Services,Leith,4.0
Event Planning & Services,Verdun,4.0
Event Planning & Services,Newbridge,4.0
Event Planning & Services,Springdale,4.0
Event Planning & Services,Wilmerding,4.0
Event Planning & Services,Waiblingen,4.0
Event Planning & Services,Hiram,4.0
Event Planning & Services,Boucherville,4.0
Event Planning & Services,Willowick,4.0
Event Planning & Services,Gerlingen,4.0
Event Planning & Services,Saint-Sauveur-des-Monts,4.0
Event Planning & Services,Gibsonia,4.0
Event Planning & Services,Glenrothes,4.0
Event Planning & Services,Currie,4.0
Event Planning & Services,Brookpark,4.0
Event Planning & Services,Newington,4.0
Event Planning & Services,Nellis Afb,4.0
Event Planning & Services,Whitby,4.0
Event Planning & Services,Chandler,3.992424242424242
Event Planning & Services,Lakewood,3.966666666666667
Event Planning & Services,Rocky River,3.95
Event Planning & Services,Las Vegas,3.944610778443114
Event Planning & Services,Paradise Valley,3.9375
Event Planning & Services,Parma,3.9375
Event Planning & Services,Glendale,3.9328358208955225
Event Planning & Services,Peoria,3.9134615384615383
Event Planning & Services,Litchfield Park,3.9
Event Planning & Services,Leonberg,3.9
Event Planning & Services,Chesterland,3.875
Event Planning & Services,Oakdale,3.875
Event Planning & Services,York,3.8333333333333335
Event Planning & Services,Monticello,3.8333333333333335
Event Planning & Services,Wickliffe,3.8333333333333335
Event Planning & Services,Stow,3.8125
Event Planning & Services,Ostfildern,3.8125
Event Planning & Services,Belmont,3.8125
Event Planning & Services,Elizabeth,3.8
Event Planning & Services,Davidson,3.8
Event Planning & Services,Bridgeville,3.8
Event Planning & Services,Maple Heights,3.8
Event Planning & Services,Mentor,3.7954545454545454
Event Planning & Services,Edinburgh,3.7828054298642533
Event Planning & Services,Laval,3.772727272727273
Event Planning & Services,Phoenix,3.771448663853727
Event Planning & Services,Fellbach,3.769230769230769
Event Planning & Services,Carefree,3.75
Event Planning & Services,Inverness,3.75
Event Planning & Services,Longueuil,3.75
Event Planning & Services,Dunfermline,3.75
Event Planning & Services,Schönaich,3.75
Event Planning & Services,Presto,3.75
