category,city,stars
Roof Inspectors,Las Vegas,3.0
Roofing,Hudson,5.0
Roofing,Huntersville,4.75
Roofing,Henderson,4.666666666666667
Roofing,North Las Vegas,4.5
Roofing,Edinburgh,4.333333333333333
Roofing,Gilbert,4.333333333333333
Roofing,Chandler,4.3
Roofing,Champaign,4.25
Roofing,Mesa,4.241379310344827
Roofing,Waxhaw,4.0
Roofing,Surprise,4.0
Roofing,Rocky River,4.0
Roofing,Tempe,3.7857142857142856
Roofing,Glendale,3.75
Roofing,Pittsburgh,3.7142857142857144
Roofing,Phoenix,3.616279069767442
Roofing,Scottsdale,3.6
Roofing,Litchfield Park,3.5
Roofing,Urbana,3.5
Roofing,Cottage Grove,3.5
Roofing,Charlotte,3.0555555555555554
Roofing,Madison,3.0
Roofing,Peoria,3.0
Roofing,Berea,3.0
Roofing,Goodyear,3.0
Roofing,El Mirage,3.0
Roofing,Las Vegas,2.96875
Roofing,Twinsburg,2.75
Roofing,Concord,2.5
Roofing,Carnegie,2.5
Roofing,Parma,1.5
Roofing,Bedford,1.0
Rotisserie Chicken,Mesa,4.0
Rugs,Pineville,5.0
Rugs,Concord,5.0
Rugs,Tempe,4.833333333333333
Rugs,Henderson,4.5
Rugs,Pittsburgh,4.333333333333333
Rugs,Charlotte,4.25
Rugs,Lyndhurst,4.0
Rugs,Edinburgh,4.0
Rugs,Nellis AFB,4.0
Rugs,Las Vegas,3.9583333333333335
Rugs,Scottsdale,3.9285714285714284
Rugs,Phoenix,3.75
Rugs,Toronto,3.75
Rugs,Richmond Hill,3.5
Rugs,Mesa,3.5
Rugs,Madison,3.5
Rugs,Fort Mill,3.5
Rugs,Glendale,3.375
Rugs,Peoria,3.0
Rugs,Chandler,2.5
Rugs,North Olmsted,2.5
Rugs,Cleveland,2.0
Rugs,Etobicoke,2.0
Rugs,Surprise,2.0
Rugs,Gilbert,1.0
Rugs,Cleveland Heights,1.0
Russian,Moon,4.5
Russian,Mesa,4.5
Russian,Charlotte,4.5
Russian,Pittsburgh,4.5
Russian,Madison,4.333333333333333
Russian,Las Vegas,4.1
Russian,Cleveland,4.0
Russian,Edinburgh,4.0
Russian,Saint-Laurent,4.0
Russian,Thornhill,4.0
Russian,Pepper Pike,4.0
Russian,Toronto,3.9
Russian,Montréal,3.857142857142857
Russian,Concord,3.75
Russian,North York,3.6666666666666665
Russian,Phoenix,3.5
Russian,Stuttgart,3.5
Russian,Vaughan,2.0
Sailing,Toronto,4.0
Sailing,Henderson,2.0
Salad,Dallas,5.0
Salad,Dorval,5.0
Salad,Richmond Heights,5.0
Salad,Gibsonia,4.5
Salad,Middleton,4.5
Salad,Hampton Township,4.5
Salad,Farnham,4.5
Salad,North Versailles,4.5
Salad,Pierrefonds,4.5
Salad,Rouses Point,4.5
Salad,Blawnox,4.5
Salad,Indian Land,4.5
Salad,Carnegie,4.5
Salad,Shaler Township,4.5
Salad,Kirtland,4.5
Salad,Tolleson,4.25
Salad,Ambridge,4.25
Salad,Pickering,4.25
Salad,Avon Lake,4.125
Salad,Elyria,4.125
Salad,Edinburgh,4.125
Salad,North Royalton,4.0
Salad,Aurora,4.0
Salad,Eastlake,4.0
Salad,Hudson,4.0
Salad,Bedford,4.0
Salad,Sheffield,4.0
Salad,Sewickley,4.0
Salad,Thornhill,4.0
Salad,Fairlawn,4.0
Salad,McCandless Township,4.0
Salad,Cave Creek,4.0
Salad,North Huntingdon,4.0
Salad,Kirkland,4.0
Salad,Robinson Township,4.0
Salad,Fairview Park,4.0
Salad,Brampton,4.0
Salad,East McKeesport,4.0
Salad,Kennedy Township,4.0
Salad,Wilkinsburg,4.0
Salad,Chardon,4.0
Salad,Tega Cay,4.0
Salad,WICKLIFFE,4.0
Salad,Cleveland Heights,4.0
Salad,Imperial,4.0
Salad,Streetsboro,4.0
Salad,Penn Hills,4.0
Salad,Bainbridge,4.0
Salad,Scottsdale,3.9363636363636365
Salad,Matthews,3.9166666666666665
Salad,Pineville,3.9
Salad,Sindelfingen,3.8333333333333335
Salad,Canonsburg,3.8333333333333335
Salad,Glendale,3.825
Salad,North Las Vegas,3.8181818181818183
Salad,Phoenix,3.7803030303030303
Salad,Las Vegas,3.77037037037037
Salad,Montréal,3.7589285714285716
Salad,Fountain Hills,3.75
Salad,Carefree,3.75
Salad,Dollard-des-Ormeaux,3.75
Salad,Goodyear,3.75
Salad,Brossard,3.75
Salad,Monroeville,3.75
Salad,Allison Park,3.75
Salad,Vaughan,3.75
Salad,Henderson,3.7222222222222223
Salad,Gilbert,3.703125
Salad,Middleburg Heights,3.7
Salad,Chandler,3.6857142857142855
Salad,Toronto,3.6626984126984126
Salad,Cleveland,3.6176470588235294
Salad,Mesa,3.6166666666666667
Salad,Tempe,3.6142857142857143
Salad,Scarborough,3.6
Salad,Fort Mill,3.6
Salad,Rocky River,3.5833333333333335
Salad,Brecksville,3.5
Salad,Davidson,3.5
Salad,Beachwood,3.5
Salad,Newbury,3.5
Salad,Indian Trail,3.5
Salad,Copley,3.5
Salad,Warrensville Hts.,3.5
Salad,Chagrin Falls,3.5
Salad,Northfield,3.5
Salad,Montréal-Ouest,3.5
Salad,Parma,3.5
Salad,Mount Lebanon,3.5
Salad,Boisbriand,3.5
Salad,Chesterland,3.5
Salad,Whitby,3.5
Salad,Coraopolis,3.5
Salad,Kornwestheim,3.5
Salad,Twinsburg,3.5
Salad,Gastonia,3.5
Salad,Paradise Valley,3.5
Salad,Independence,3.5
Salad,Huntersville,3.5
Salad,Georgetown,3.5
Salad,Westmount,3.5
Salad,Laval,3.5
Salad,Strongsville,3.5
Salad,Charlotte,3.4858490566037736
Salad,Mississauga,3.466666666666667
Salad,Markham,3.4375
Salad,Avondale,3.4375
Salad,Pittsburgh,3.426470588235294
Salad,Cuyahoga Falls,3.4166666666666665
Salad,Lakewood,3.4
Salad,Madison,3.3833333333333333
Salad,Bridgeville,3.375
Salad,Westlake,3.375
Salad,North York,3.375
Salad,Stuttgart,3.3636363636363638
Salad,Champaign,3.3461538461538463
Salad,Medina,3.3333333333333335
Salad,Concord,3.2916666666666665
Salad,North Olmsted,3.2777777777777777
Salad,Oakville,3.2777777777777777
Salad,Stow,3.25
Salad,Warrensville Heights,3.25
Salad,Harrisburg,3.25
Salad,Newmarket,3.25
Salad,Pleasant Hills,3.25
Salad,South Euclid,3.25
Salad,Avon,3.25
Salad,Mayfield Heights,3.2
Salad,Mentor,3.2
Salad,Amherst,3.1666666666666665
Salad,Cornelius,3.1666666666666665
Salad,Surprise,3.125
Salad,Shaker Heights,3.0
Salad,Wesley Chapel,3.0
Salad,Peoria,3.0
Salad,Irwin,3.0
Salad,Richmond Hill,3.0
Salad,Seven Hills,3.0
Salad,Stouffville,3.0
Salad,Baldwin,3.0
Salad,Broadview Heights,3.0
Salad,Lyndhurst,3.0
Salad,Sheffield Village,3.0
Salad,Brooklyn,3.0
Salad,West Homestead,3.0
Salad,White Oak,3.0
Salad,LasVegas,3.0
Salad,Ajax,3.0
Salad,Kannapolis,3.0
Salad,Belmont,3.0
Salad,Painesville,3.0
Salad,Willoughby,3.0
Salad,Montéal,3.0
Salad,Wickliffe,3.0
Salad,Cheswick,3.0
Salad,North Ridgeville,3.0
Salad,Brunswick,3.0
Salad,East York,3.0
Salad,Wilmerding,3.0
