city,category,sum(review_count)
Las Vegas,Thai,23940
Las Vegas,Pasta Shops,1168
Las Vegas,Diners,15263
Las Vegas,Orthopedists,585
Las Vegas,Psychologists,4
Las Vegas,Skilled Nursing,7
Las Vegas,Mortgage Brokers,1095
Las Vegas,Matchmakers,11
Las Vegas,Macarons,1585
Las Vegas,CSA,12
Las Vegas,Motorcycle Repair,767
Las Vegas,Nurse Practitioner,19
Las Vegas,Osteopathic Physicians,42
Las Vegas,RV Parks,305
Las Vegas,Fingerprinting,77
Las Vegas,Race Tracks,610
Las Vegas,Aquariums,1341
Las Vegas,Workers Compensation Law,42
Las Vegas,Jewelry,4514
Las Vegas,Home & Rental Insurance,414
Las Vegas,Preschools,741
Las Vegas,Nanny Services,118
Las Vegas,Home Network Installation,135
Las Vegas,Mosques,8
Las Vegas,Cafes,33054
Las Vegas,Nightlife,224955
Las Vegas,Waxing,9012
Las Vegas,Tanning,3274
Las Vegas,Museums,4828
Las Vegas,Diagnostic Imaging,682
Las Vegas,Private Tutors,152
Las Vegas,Game Truck Rental,4
Las Vegas,Sports Bars,20331
Las Vegas,Auto Glass Services,3342
Las Vegas,Cupcakes,3395
Las Vegas,Vehicle Wraps,153
Las Vegas,Landscape Architects,262
Las Vegas,Tutoring Centers,97
Las Vegas,Gold Buyers,299
Las Vegas,New Mexican Cuisine,546
Las Vegas,Roof Inspectors,3
Las Vegas,Mattresses,1825
Las Vegas,Vegan,17504
Las Vegas,Plumbing,3768
Las Vegas,Tapas/Small Plates,17688
Las Vegas,Internet Service Providers,1410
Las Vegas,Obstetricians & Gynecologists,1353
Las Vegas,Sports Clubs,805
Las Vegas,Medical Transportation,64
Las Vegas,Luggage,342
Las Vegas,Commercial Real Estate,382
Las Vegas,Appraisal Services,109
Las Vegas,Pediatric Dentists,1050
Las Vegas,Gay Bars,1486
Las Vegas,Go Karts,659
Las Vegas,Home Health Care,286
Las Vegas,Building Supplies,893
Las Vegas,Payroll Services,123
Las Vegas,Pick Your Own Farms,156
Las Vegas,Tasting Classes,37
Las Vegas,Coffee & Tea Supplies,45
Las Vegas,Wine Tasting Room,4
Las Vegas,Shoe Stores,3494
Las Vegas,Event Photography,1513
Las Vegas,Spiritual Shop,140
Las Vegas,Custom Cakes,795
Las Vegas,Smog Check Stations,3172
Las Vegas,Bars,188813
Las Vegas,Mobile Phone Repair,3645
Las Vegas,Pressure Washers,562
Las Vegas,Bike Rentals,705
Las Vegas,Community Centers,14
Las Vegas,Hair Removal,15989
Las Vegas,Limos,2429
Las Vegas,Adult,696
Las Vegas,Office Cleaning,1718
Las Vegas,Afghan,286
Las Vegas,Country Clubs,188
Las Vegas,Pathologists,13
Las Vegas,Prosthodontists,12
Las Vegas,Proctologists,8
Las Vegas,Pan Asian,70
Las Vegas,Vape Shops,2636
Las Vegas,Caribbean,2576
Las Vegas,RV Rental,264
Las Vegas,Screen Printing,293
Las Vegas,Butcher,1204
Las Vegas,Rock Climbing,772
Las Vegas,Flight Instruction,42
Las Vegas,Kickboxing,27
Las Vegas,Juice Bars & Smoothies,17561
Las Vegas,Financial Advising,317
Las Vegas,Skydiving,148
Las Vegas,Himalayan/Nepalese,144
Las Vegas,Sandwiches,58842
Las Vegas,Pawn Shops,1038
Las Vegas,Meditation Centers,208
Las Vegas,Gastroenterologist,67
Las Vegas,Veterans Organizations,3
Las Vegas,American (Traditional),128502
Las Vegas,Pool Halls,734
Las Vegas,Eyelash Service,9258
Las Vegas,Bail Bondsmen,111
Las Vegas,Barbeque,32054
Las Vegas,Art Schools,78
Las Vegas,Falafel,335
Las Vegas,Orthotics,57
Las Vegas,Contract Law,36
Las Vegas,Adult Entertainment,12427
Las Vegas,Public Transportation,935
Las Vegas,Middle Eastern,6101
Las Vegas,Carpet Installation,409
Las Vegas,Cafeteria,65
Las Vegas,Wildlife Control,21
Las Vegas,Arts & Entertainment,168321
Las Vegas,Diving,29
Las Vegas,Fire Departments,4
Las Vegas,Prosthetics,20
Las Vegas,Courthouses,110
Las Vegas,Guitar Stores,146
Las Vegas,Television Stations,60
Las Vegas,Libraries,474
Las Vegas,Bike Repair/Maintenance,251
Las Vegas,Salvadoran,577
Las Vegas,Investing,189
Las Vegas,Cabaret,180
Las Vegas,Paddleboarding,14
Las Vegas,Customized Merchandise,144
Las Vegas,Team Building Activities,177
Las Vegas,Patisserie/Cake Shop,295
Las Vegas,Street Art,1035
Las Vegas,Golf Lessons,3
Las Vegas,Private Jet Charter,8
Las Vegas,Herbal Shops,5
Las Vegas,Gyms,7414
Las Vegas,Art Supplies,482
Las Vegas,Vacation Rental Agents,159
Las Vegas,Colleges & Universities,491
Las Vegas,Horse Boarding,34
Las Vegas,Printing Services,2330
Las Vegas,Landscaping,1771
Las Vegas,Head Shops,154
Las Vegas,Wills,32
Las Vegas,Waterproofing,3
Las Vegas,Shades & Blinds,723
Las Vegas,Caterers,15445
Las Vegas,Flooring,1440
Las Vegas,Paint-Your-Own Pottery,53
Las Vegas,Couriers & Delivery Services,627
Las Vegas,Glass & Mirrors,438
Las Vegas,Pakistani,2390
Las Vegas,Tobacco Shops,4256
Las Vegas,Salad,22005
Las Vegas,Shoe Repair,505
Las Vegas,Races & Competitions,178
Las Vegas,Cantonese,5054
Las Vegas,Resorts,41165
Las Vegas,Irrigation,294
Las Vegas,Laundromat,261
Las Vegas,Drywall Installation & Repair,270
Las Vegas,Chinese,44824
Las Vegas,Weight Loss Centers,1491
Las Vegas,Laser Eye Surgery/Lasik,527
Las Vegas,Fish & Chips,911
Las Vegas,Professional Services,13009
Las Vegas,Special Education,179
Las Vegas,Musical Instruments & Teachers,492
Las Vegas,Car Buyers,151
Las Vegas,Opera & Ballet,275
Las Vegas,High Fidelity Audio Equipment,68
Las Vegas,Szechuan,1815
Las Vegas,Korean,19435
Las Vegas,Shopping Centers,5983
Las Vegas,Buffets,45682
Las Vegas,Mountain Biking,948
Las Vegas,Car Rental,6277
Las Vegas,Officiants,375
Las Vegas,ATV Rentals/Tours,443
Las Vegas,Fashion,21511
Las Vegas,Departments of Motor Vehicles,524
Las Vegas,Advertising,424
Las Vegas,Organic Stores,1115
Las Vegas,Beer Gardens,1227
Las Vegas,Wine & Spirits,24827
Las Vegas,Rehabilitation Center,290
Las Vegas,Golf Equipment Shops,35
Las Vegas,Themed Cafes,35
Las Vegas,Speech Therapists,91
Las Vegas,Insulation Installation,111
Las Vegas,Car Auctions,15
Las Vegas,Hawaiian,13954
Las Vegas,Tours,7022
Las Vegas,Ear Nose & Throat,194
Las Vegas,Escape Games,976
Las Vegas,Dry Cleaning,165
Las Vegas,Life Insurance,159
Las Vegas,First Aid Classes,99
Las Vegas,Olive Oil,33
Las Vegas,Toxicologists,5
Las Vegas,Children's Museums,203
Las Vegas,Wedding Chapels,1443
Las Vegas,Outdoor Gear,1108
Las Vegas,Recreation Centers,883
Las Vegas,Party Bike Rentals,15
Las Vegas,Vintage & Consignment,1468
Las Vegas,American (New),140884
Las Vegas,Police Departments,122
Las Vegas,Shaved Snow,91
Las Vegas,Travel Agents,22
Las Vegas,Jewelry Repair,652
Las Vegas,Party Supplies,808
Las Vegas,Sporting Goods,4067
Las Vegas,Dance Studios,751
Las Vegas,Religious Organizations,839
Las Vegas,Home Automation,281
Las Vegas,Pain Management,163
Las Vegas,Keys & Locksmiths,1273
Las Vegas,Rafting/Kayaking,188
Las Vegas,& Probates,32
Las Vegas,Local Fish Stores,132
Las Vegas,Fire Protection Services,16
Las Vegas,Talent Agencies,90
Las Vegas,Imported Food,1202
Las Vegas,Souvenir Shops,1418
Las Vegas,Tattoo Removal,712
Las Vegas,Live/Raw Food,1795
Las Vegas,Emergency Medicine,47
Las Vegas,Hardware Stores,778
Las Vegas,Waffles,557
Las Vegas,Brazilian,3896
Las Vegas,Pets,10734
Las Vegas,Pest Control,1256
Las Vegas,Department Stores,5671
Las Vegas,Middle Schools & High Schools,140
Las Vegas,Montessori Schools,39
Las Vegas,Shredding Services,83
Las Vegas,Specialty Food,26397
Las Vegas,Books,2762
Las Vegas,Radio Stations,129
Las Vegas,Mediterranean,16101
Las Vegas,Personal Injury Law,1172
Las Vegas,Hospitals,2152
Las Vegas,Hot Pot,2129
Las Vegas,Drive-Thru Bars,51
Las Vegas,Bespoke Clothing,458
Las Vegas,Party & Event Planning,8666
Las Vegas,Beer,24827
Las Vegas,Mass Media,600
Las Vegas,House Sitters,30
Las Vegas,Video/Film Production,467
Las Vegas,Bulgarian,16
Las Vegas,Day Camps,48
Las Vegas,Yelp Events,85
Las Vegas,Bubble Soccer,5
Las Vegas,Outdoor Furniture Stores,59
Las Vegas,Swimming Pools,5304
Las Vegas,Nurseries & Gardening,1092
Las Vegas,Wraps,5
Las Vegas,Men's Clothing,5248
Las Vegas,Furniture Stores,3539
Las Vegas,Retirement Homes,225
Las Vegas,Aerial Tours,14
Las Vegas,Water Heater Installation/Repair,1138
Las Vegas,Rugs,117
Las Vegas,Laundry Services,455
Las Vegas,Noodles,11537
Las Vegas,Pumpkin Patches,23
Las Vegas,Latin American,5119
Las Vegas,Face Painting,157
Las Vegas,Paintball,163
Las Vegas,Drive-In Theater,154
Las Vegas,Editorial Services,23
Las Vegas,Pool Cleaners,574
Las Vegas,Creperies,2378
Las Vegas,Basque,923
Las Vegas,Artificial Turf,34
Las Vegas,Pet Groomers,4814
Las Vegas,Security Services,130
Las Vegas,Cuban,1120
Las Vegas,Champagne Bars,389
Las Vegas,Bowling,1440
Las Vegas,Medical Centers,4278
