city,category,sum(review_count)
Pittsburgh,General Dentistry,361
Pittsburgh,Hotels & Travel,4829
Pittsburgh,Dry Cleaning,78
Pittsburgh,Professional Sports Teams,82
Pittsburgh,Popcorn Shops,156
Pittsburgh,Contractors,146
Pittsburgh,Drugstores,499
Pittsburgh,Nurseries & Gardening,136
Pittsburgh,Laser Hair Removal,61
Pittsburgh,Marketing,9
Pittsburgh,Boxing,56
Pittsburgh,Baseball Fields,402
Pittsburgh,Food Trucks,945
Pittsburgh,Fireplace Services,5
Pittsburgh,Medical Supplies,7
Pittsburgh,Pool & Hot Tub Service,4
Pittsburgh,American (Traditional),17283
Pittsburgh,Business Consulting,3
Pittsburgh,Television Stations,8
Pittsburgh,Home Organization,8
Pittsburgh,Windshield Installation & Repair,42
Pittsburgh,Musicians,3
Pittsburgh,Photographers,72
Pittsburgh,Modern European,413
Pittsburgh,Financial Advising,26
Pittsburgh,Hearing Aid Providers,3
Pittsburgh,Eyewear & Opticians,258
Pittsburgh,Midwives,8
Pittsburgh,Hair Removal,1078
Pittsburgh,Flowers & Gifts,790
Pittsburgh,Payroll Services,15
Pittsburgh,Musical Instrument Services,27
Pittsburgh,CSA,57
Pittsburgh,Bangladeshi,107
Pittsburgh,Brazilian,253
Pittsburgh,Cabinetry,7
Pittsburgh,Bagels,863
Pittsburgh,Septic Services,3
Pittsburgh,Homeowner Association,4
Pittsburgh,Body Shops,220
Pittsburgh,Registration Services,7
Pittsburgh,Arts & Crafts,566
Pittsburgh,Resorts,72
Pittsburgh,Employment Law,3
Pittsburgh,Computers,155
Pittsburgh,Skating Rinks,40
Pittsburgh,Hair Stylists,403
Pittsburgh,Pilates,110
Pittsburgh,Estate Liquidation,4
Pittsburgh,Screen Printing,24
Pittsburgh,Pakistani,568
Pittsburgh,Home Inspectors,47
Pittsburgh,Banks & Credit Unions,69
Pittsburgh,Cards & Stationery,172
Pittsburgh,Commercial Truck Dealers,3
Pittsburgh,Sports Bars,4402
Pittsburgh,Sewing & Alterations,343
Pittsburgh,Formal Wear,64
Pittsburgh,Caribbean,895
Pittsburgh,Costumes,49
Pittsburgh,Medical Transportation,3
Pittsburgh,Carpet Installation,18
Pittsburgh,Auto Glass Services,60
Pittsburgh,DUI Law,10
Pittsburgh,Irish,452
Pittsburgh,Mediterranean,3443
Pittsburgh,Orthodontists,27
Pittsburgh,Snow Removal,3
Pittsburgh,Falafel,16
Pittsburgh,Home Decor,281
Pittsburgh,Tattoo,360
Pittsburgh,Home Cleaning,189
Pittsburgh,Mortgage Brokers,8
Pittsburgh,Event Planning & Services,6907
Pittsburgh,Airport Shuttles,176
Pittsburgh,Cryotherapy,5
Pittsburgh,Comfort Food,262
Pittsburgh,Vintage & Consignment,263
Pittsburgh,Paintball,11
Pittsburgh,Naturopathic/Holistic,16
Pittsburgh,Argentine,993
Pittsburgh,Health Retreats,22
Pittsburgh,Rafting/Kayaking,30
Pittsburgh,Engraving,8
Pittsburgh,Chicken Wings,2160
Pittsburgh,Real Estate Agents,54
Pittsburgh,Vegetarian,3783
Pittsburgh,Cooking Schools,98
Pittsburgh,Internet Service Providers,59
Pittsburgh,Empanadas,6
Pittsburgh,Basque,329
Pittsburgh,Hindu Temples,6
