city,category,sum(review_count)
Phoenix,Noodles,1728
Phoenix,Pets,6621
Phoenix,Boat Dealers,33
Phoenix,Art Schools,167
Phoenix,Private Tutors,52
Phoenix,Pretzels,13
Phoenix,Bankruptcy Law,148
Phoenix,Music & Video,1638
Phoenix,Cafes,16526
Phoenix,Psychiatrists,37
Phoenix,Hospice,20
Phoenix,Indian,2706
Phoenix,Hot Pot,183
Phoenix,Cosmetic Dentists,1974
Phoenix,Dry Cleaning,112
Phoenix,Vegetarian,9730
Phoenix,Fitness/Exercise Equipment,24
Phoenix,,229
Phoenix,Car Auctions,11
Phoenix,Armenian,84
Phoenix,Shaved Snow,51
Phoenix,Interior Design,434
Phoenix,Festivals,520
Phoenix,Cards & Stationery,304
Phoenix,Home Energy Auditors,7
Phoenix,Dominican,12
Phoenix,Pizza,32892
Phoenix,Boating,157
Phoenix,Advertising,173
Phoenix,Uniforms,67
Phoenix,Horse Racing,65
Phoenix,Home Automation,181
Phoenix,Candy Stores,311
Phoenix,Motorcycle Gear,135
Phoenix,Stucco Services,64
Phoenix,Barre Classes,299
Phoenix,Cooking Schools,122
Phoenix,Sporting Goods,2091
Phoenix,Truck Rental,209
Phoenix,Security Systems,468
Phoenix,First Aid Classes,49
Phoenix,Powder Coating,47
Phoenix,Bartenders,65
Phoenix,Medical Cannabis Referrals,4
Phoenix,Fitness & Instruction,5166
Phoenix,Landscaping,1491
Phoenix,Traditional Chinese Medicine,241
Phoenix,Web Design,238
Phoenix,Piano Services,68
Phoenix,Acai Bowls,236
Phoenix,Mediterranean,10766
Phoenix,Windshield Installation & Repair,930
Phoenix,Pet Boarding/Pet Sitting,1818
Phoenix,Kitchen & Bath,724
Phoenix,Custom Cakes,136
Phoenix,Hot Air Balloons,214
Phoenix,Contract Law,9
Phoenix,Piano Stores,14
Phoenix,Herbs & Spices,112
Phoenix,Italian,31620
Phoenix,Electricians,1006
Phoenix,Occupational Therapy,20
Phoenix,Pediatricians,597
Phoenix,Gun/Rifle Ranges,341
Phoenix,Taekwondo,8
Phoenix,Chicken Wings,5521
Phoenix,Travel Services,1061
Phoenix,Physical Therapy,886
Phoenix,Bubble Tea,1242
Phoenix,Aquariums,77
Phoenix,Skate Shops,14
Phoenix,Addiction Medicine,7
Phoenix,Nurse Practitioner,7
Phoenix,Pool & Hot Tub Service,586
Phoenix,Haitian,8
Phoenix,Marketing,411
Phoenix,Landmarks & Historical Buildings,349
Phoenix,Accountants,139
Phoenix,Amusement Parks,684
Phoenix,Parenting Classes,4
Phoenix,Awnings,36
Phoenix,Game Truck Rental,15
Phoenix,Community Service/Non-Profit,505
Phoenix,Hats,57
Phoenix,Nutritionists,623
Phoenix,Skilled Nursing,22
Phoenix,Pet Photography,4
Phoenix,Massage,3337
Phoenix,Caterers,9763
Phoenix,Limos,711
Phoenix,Nail Technicians,25
Phoenix,Car Stereo Installation,384
Phoenix,Ticket Sales,54
Phoenix,Language Schools,8
Phoenix,Hotels & Travel,18740
Phoenix,Boat Charters,11
Phoenix,Mobile Phone Repair,1095
Phoenix,Breweries,3705
Phoenix,Live/Raw Food,20
Phoenix,Active Life,13388
Phoenix,Health Insurance Offices,6
Phoenix,Employment Law,63
Phoenix,Banks & Credit Unions,1012
Phoenix,Meat Shops,463
Phoenix,Summer Camps,121
Phoenix,Formal Wear,328
Phoenix,Zoos,514
Phoenix,Dietitians,6
Phoenix,Electronics,2207
Phoenix,Reiki,204
Phoenix,Holistic Animal Care,7
Phoenix,Community Centers,5
Phoenix,Placenta Encapsulations,53
Phoenix,Psychologists,3
Phoenix,Utilities,265
Phoenix,Hearing Aid Providers,12
Phoenix,RV Parks,8
Phoenix,Computers,849
Phoenix,Cupcakes,976
Phoenix,University Housing,216
Phoenix,Coffee Roasteries,68
Phoenix,Champagne Bars,17
Phoenix,Parks,2664
Phoenix,Jet Skis,60
Phoenix,Preschools,483
Phoenix,Battery Stores,39
Phoenix,Grocery,7326
Phoenix,Performing Arts,1933
Phoenix,Car Rental,3499
Phoenix,Public Services & Government,1773
Phoenix,Gay Bars,981
Phoenix,Interval Training Gyms,186
Phoenix,Beer Bar,1491
Phoenix,Cannabis Clinics,501
Phoenix,Campgrounds,87
Phoenix,Car Share Services,48
Phoenix,Rafting/Kayaking,68
Phoenix,Apartments,3145
Phoenix,Event Planning & Services,27719
Phoenix,Sports Bars,10123
Phoenix,Family Practice,865
Phoenix,Security Services,69
Phoenix,Bird Shops,51
Phoenix,Elementary Schools,310
Phoenix,Pool Halls,246
Phoenix,Auto Insurance,108
Phoenix,Belgian,11
Phoenix,Nail Salons,7995
Phoenix,Handyman,1052
Phoenix,Refinishing Services,192
Phoenix,Airports,3149
Phoenix,Men's Clothing,1595
Phoenix,Churches,271
Phoenix,Urologists,34
Phoenix,Beer Tours,16
Phoenix,Personal Injury Law,291
Phoenix,Children's Clothing,304
Phoenix,Spray Tanning,493
Phoenix,Delis,7537
Phoenix,Trailer Dealers,20
Phoenix,Marinas,29
Phoenix,Vegan,6541
Phoenix,Pubs,6950
Phoenix,Television Service Providers,1031
Phoenix,Process Servers,9
Phoenix,Furniture Rental,16
Phoenix,Air Duct Cleaning,1032
Phoenix,Rugs,53
Phoenix,Sugaring,74
Phoenix,Carpenters,11
Phoenix,Day Spas,4205
Phoenix,Orthopedists,237
Phoenix,Pool Cleaners,922
Phoenix,Surfing,5
Phoenix,Hair Salons,8033
Phoenix,Afghan,364
Phoenix,Head Shops,21
Phoenix,Personal Care Services,17
Phoenix,Bakeries,12314
Phoenix,Photography Stores & Services,507
Phoenix,Mini Golf,264
Phoenix,Dim Sum,385
Phoenix,Dive Shops,41
Phoenix,Medical Spas,1119
Phoenix,Outlet Stores,764
Phoenix,Home Decor,2134
Phoenix,Recycling Center,85
Phoenix,Architects,25
Phoenix,Immigration Law,39
Phoenix,Auto Loan Providers,166
Phoenix,Hostels,43
Phoenix,Sandblasting,6
Phoenix,Skin Care,4320
Phoenix,Cheesesteaks,1068
Phoenix,Guitar Stores,53
Phoenix,Officiants,78
Phoenix,Cryotherapy,8
Phoenix,Horse Equipment Shops,17
Phoenix,Graphic Design,416
Phoenix,Comedy Clubs,741
Phoenix,Piercing,555
Phoenix,Trailer Repair,15
Phoenix,Mediators,8
Phoenix,Session Photography,449
Phoenix,RV Dealers,115
Phoenix,Pedicabs,12
Phoenix,Medical Supplies,42
Phoenix,Stadiums & Arenas,1107
Phoenix,Music Venues,5659
Phoenix,Endodontists,238
Phoenix,Cooking Classes,67
Phoenix,Dive Bars,1936
Phoenix,Dental Hygienists,7
Phoenix,Tires,3047
Phoenix,Garage Door Services,573
Phoenix,Cabaret,29
Phoenix,Tanning Beds,118
Phoenix,Heating & Air Conditioning/HVAC,4306
Phoenix,Vocational & Technical School,44
Phoenix,Laotian,12
Phoenix,Specialty Food,10162
Phoenix,Golf Lessons,23
Phoenix,Cinema,2106
Phoenix,Counseling & Mental Health,298
Phoenix,Auto Glass Services,1457
Phoenix,Cultural Center,62
Phoenix,Local Services,18794
Phoenix,Wine Bars,11242
Phoenix,Retirement Homes,37
Phoenix,Sports Psychologists,4
Phoenix,Arabian,38
Phoenix,Ice Cream & Frozen Yogurt,6414
Phoenix,Farmers Market,1553
Phoenix,Appliances & Repair,2173
Phoenix,Nurseries & Gardening,1061
Phoenix,Laboratory Testing,172
Phoenix,Prenatal/Perinatal Care,9
Phoenix,Soul Food,2961
Phoenix,Gardeners,281
Phoenix,Funeral Services & Cemeteries,180
Phoenix,Cardiologists,124
Phoenix,Taxidermy,13
Phoenix,Vitamins & Supplements,278
Phoenix,Emergency Rooms,118
Phoenix,Framing,96
Phoenix,Local Fish Stores,85
Phoenix,Condominiums,20
Phoenix,Dentists,3395
Phoenix,Food Delivery Services,1760
Phoenix,Gastroenterologist,26
Phoenix,Acupuncture,644
Phoenix,Shopping Centers,987
Phoenix,Massage Therapy,1250
Phoenix,Water Purification Services,980
Phoenix,Rehabilitation Center,188
Phoenix,Audiologist,22
Phoenix,& Probates,55
Phoenix,Home Network Installation,48
