category,stars
Podiatrists,4.5
Boat Dealers,4.5
Seafood Markets,4.5
Home Inspectors,4.5
Churches,4.5
Creperies,4.5
Bartenders,4.5
Video Game Stores,4.5
Psychics & Astrologers,4.5
Paint-Your-Own Pottery,4.5
Officiants,4.5
Swimwear,4.5
Gutter Services,4.5
Skate Shops,4.5
Coffee Roasteries,4.5
Flight Instruction,4.5
Pressure Washers,4.5
Talent Agencies,4.5
Hawaiian,4.5
Indoor Landscaping,4.5
Aircraft Dealers,4.5
Races & Competitions,4.5
Observatories,4.5
Metal Fabricators,4.5
Guitar Stores,4.5
Hot Pot,4.5
Tea Rooms,4.5
Saunas,4.5
Wine Tasting Room,4.5
Meditation Centers,4.5
Shaved Ice,4.5
Motorsport Vehicle Dealers,4.5
Party Bike Rentals,4.5
Lakes,4.5
Battery Stores,4.5
Trinidadian,4.5
Piano Stores,4.5
Aircraft Repairs,4.5
Mountain Biking,4.5
Medical Spas,4.5
Fire Protection Services,4.5
Poke,4.5
Musicians,4.5
Windshield Installation & Repair,4.5
Dry Cleaning,4.5
Hunting & Fishing Supplies,4.5
