category,stars
Pet Photography,5.0
Software Development,5.0
Food Tours,5.0
Fitness/Exercise Equipment,5.0
International Grocery,5.0
Furniture Reupholstery,5.0
Home Window Tinting,5.0
Permanent Makeup,5.0
Event Photography,5.0
Screen Printing/T-Shirt Printing,5.0
Graphic Design,5.0
Wedding Chapels,5.0
Advertising,5.0
Tai Chi,5.0
Disc Golf,5.0
Naturopathic/Holistic,5.0
Bus Tours,5.0
Paint & Sip,5.0
Diving,5.0
Wine Tours,5.0
Customized Merchandise,5.0
Screen Printing,5.0
Tubing,5.0
Interval Training Gyms,5.0
Reptile Shops,5.0
Henna Artists,5.0
Malaysian,5.0
Float Spa,5.0
Security Services,5.0
Rolfing,5.0
Eyebrow Services,5.0
Private Tutors,5.0
Air Duct Cleaning,5.0
Embroidery & Crochet,5.0
Session Photography,5.0
Yelp Events,5.0
Furniture Repair,5.0
Scuba Diving,5.0
High Fidelity Audio Equipment,5.0
Home Staging,5.0
Test Preparation,5.0
Pet Hospice,5.0
Jet Skis,5.0
Montessori Schools,5.0
