category,stars
Wine Bars,3.840909090909091
Life Coach,3.8333333333333335
Festivals,3.8333333333333335
Indian,3.8333333333333335
Taiwanese,3.8333333333333335
Watch Repair,3.8333333333333335
Medical Supplies,3.8333333333333335
Hookah Bars,3.8333333333333335
Internal Medicine,3.8333333333333335
Middle Eastern,3.8333333333333335
Brazilian,3.8333333333333335
Bridal,3.8333333333333335
Kids Activities,3.8333333333333335
Costumes,3.8333333333333335
Home Theatre Installation,3.8333333333333335
Belgian,3.8333333333333335
